자치구명,시설구분,주소,위도,경도
광진구,당구장업,"서울특별시 광진구 뚝섬로 498 (자양동, 서울클리닉빌딩)",37.535928,127.065428
광진구,당구장업,"서울특별시 광진구 아차산로30길 18, 2층 (자양동)",37.540057,127.067408
광진구,당구장업,"서울특별시 광진구 능동로 91, 지층 (자양동)",37.539269,127.070040
광진구,당구장업,서울특별시 광진구 동일로 88 (자양동),37.540402,127.063308
광진구,당구장업,"서울특별시 광진구 뚝섬로 486, 2층 (자양동)",37.536250,127.064268
광진구,당구장업,"서울특별시 광진구 뚝섬로 476, 2층 (자양동)",37.536481,127.063177
광진구,당구장업,"서울특별시 광진구 동일로 78, 지하1층 (자양동)",37.539541,127.062811
광진구,당구장업,"서울특별시 광진구 아차산로 236, 지하1층 (자양동)",37.539988,127.069354
광진구,당구장업,"서울특별시 광진구 아차산로51길 77, 지하1층 (구의동)",37.540477,127.084959
광진구,당구장업,"서울특별시 광진구 자양로18길 33, 지층 (구의동)",37.537995,127.085378
광진구,당구장업,"서울특별시 광진구 구의로 3, 지층 (구의동, 쌍용빌딩)",37.538281,127.088904
광진구,당구장업,"서울특별시 광진구 아차산로57길 4, 3층 (구의동)",37.538708,127.088326
광진구,당구장업,"서울특별시 광진구 자양로22길 24, 2층 (구의동, 상우빌딩)",37.539496,127.084751
광진구,당구장업,"서울특별시 광진구 구의로 25, 지층 (구의동, 석천빌딩)",37.540265,127.089462
광진구,당구장업,"서울특별시 광진구 아차산로 401, 3층 (구의동)",37.537642,127.087255
광진구,당구장업,"서울특별시 광진구 아차산로51길 39, 3층 (구의동)",37.538793,127.084801
광진구,가상체험 체육시설업,"서울특별시 광진구 아차산로 373, 지하1층 (구의동)",37.537012,127.084033
광진구,골프연습장업,"서울특별시 광진구 천호대로 676, 지하1층 (구의동)",37.550591,127.089930
광진구,당구장업,"서울특별시 광진구 천호대로 677 (구의동, 세진빌딩)",37.550812,127.090717
광진구,골프연습장업,"서울특별시 광진구 아차산로 444, 지하1층 (구의동)",37.538537,127.091936
광진구,골프연습장업,"서울특별시 광진구 구의강변로 45, 4층 (구의동, 구의동 복합빌딩)",37.534885,127.091307
광진구,골프연습장업,"서울특별시 광진구 구의강변로 106, 101동 지층 115-118호 (구의동, 구의동삼성쉐르빌)",37.539857,127.094897
광진구,당구장업,"서울특별시 광진구 광나루로56길 63 (구의동, 지하1층 101호,102호,103호)",37.536789,127.096161
광진구,당구장업,"서울특별시 광진구 구의강변로 35, 삼진빌딩 지하1층 (구의동)",37.533932,127.091376
광진구,당구장업,"서울특별시 광진구 아차산로 473, 5층 (구의동)",37.540519,127.094284
광진구,당구장업,"서울특별시 광진구 아차산로 444, 지층 103호 (구의동, 와이엔 오피스텔)",37.538537,127.091936
광진구,당구장업,"서울특별시 광진구 구의로 70 (구의동, 영덕빌딩 2층 201호)",37.544166,127.090688
광진구,당구장업,"서울특별시 광진구 강변역로4길 10, 강변역지너스타워 지하1층 9,10호 (구의동)",37.535349,127.093405
광진구,당구장업,"서울특별시 광진구 면목로 191, 2층 (중곡동)",37.570322,127.083070
광진구,당구장업,"서울특별시 광진구 용마산로 16, 창성빌딩 4층 (중곡동)",37.555051,127.088619
광진구,당구장업,"서울특별시 광진구 용마산로 28, 2층 (중곡동)",37.556219,127.088400
광진구,당구장업,서울특별시 광진구 아차산로 610 (광장동),37.547197,127.106553
광진구,게임제공업,"서울특별시 광진구 아차산로 377, 지하1층 (구의동)",37.537236,127.084760
광진구,게임제공업,"서울특별시 광진구 아차산로51길 62, 2층 (구의동)",37.539741,127.085021
광진구,게임제공업,"서울특별시 광진구 자양로22길 24 (구의동, 상우빌딩)",37.539496,127.084751
광진구,게임제공업,"서울특별시 광진구 자양로18길 20, 2층 (구의동)",37.537554,127.084579
광진구,게임제공업,"서울특별시 광진구 자양로 277, 지층 (구의동)",37.550805,127.091104
광진구,게임제공업,"서울특별시 광진구 자양로 278, 대운빌딩 지하2층 (구의동)",37.550606,127.091470
광진구,게임제공업,"서울특별시 광진구 광나루로 614 (구의동,지하1층)",37.540791,127.095834
광진구,게임제공업,"서울특별시 광진구 광나루로56길 29, 현대프라임아파트 4층 410, 411호 ",37.536958,127.096537
광진구,게임제공업,"서울특별시 광진구 구의로 4, 2층 (구의동)",37.538351,127.089290
광진구,게임제공업,"서울특별시 광진구 구의로 6, 신호빌딩 지하1층 (구의동)",37.538493,127.089347
광진구,게임제공업,"서울특별시 광진구 아차산로 471, CS PLAZA 지하1층 (구의동)",37.540419,127.093974
